ERC_ID,ERC_Title,ERC_Definition,ICD_MMS_Code,ICD_MMS_Title,ICD_Search_Title,ICD_Search_Definition,Search_Synonyms,Rank,Similarity_Score,Relationship
A41,Technical disaster,Manmade disaster caused by structural failure in building,XE87S,"Uncontrolled fire, flame in building or structure","uncontrolled fire, flame in building or structure",,,1,0.5432479977607727,ERC-Broader
A42,Technical disaster,Manmade disaster caused by gas leakage,XE0RV,Gas leak,gas leak,problem associated with the unintended escape of a gas from the container in which it is housed.,,1,0.7160418629646301,ERC-Narrower
A43,Technical disaster,Manmade disaster caused by water leakage,PA41.0,"Unintentional water transport injury event with water vessel damaged, disabled or destroyed, causing submersion or drowning","unintentional water transport injury event with water vessel damaged, disabled or destroyed, causing submersion or drowning",,Accident to watercraft causing drowning and submersion; drowning and submersion due to boat sinking,1,0.5379989147186279,ERC-Broader
A44,Technical disaster,Manmade disaster caused by electric current passing through the human body,XE739,Unintended electrical shock,unintended electrical shock,the device delivers unintended electrical shock.,,1,0.6735579371452332,ERC-Narrower
A45,Technical disaster,"Manmade disaster caused by the release of large amounts of energy in the form of temperature, pressure or kinetic energy",XE5EZ,Explosion,explosion,"problem associated with the violent bursting due to the sudden expansion of air, gas or fluid.",,1,0.7013781666755676,ERC-Narrower
A46,Technical disaster,"Manmade disaster caused by fire, usually accompanied by the emisssion of heat and light",XE87S,"Uncontrolled fire, flame in building or structure","uncontrolled fire, flame in building or structure",,,1,0.6942875981330872,ERC-Narrower
A47,Technical disaster,"Manmade disaster involving smoke, usually caused by combustion",XE5H5,Smoke,smoke,"problem associated with a cloud of vapor or gas generated from the device, generally associated after a fire or a burn.",,1,0.7375306487083435,Equivalent
A48,Technical disaster,Manmade disaster involving collapsing of ice,PJ05,"Victim of avalanche, landslide or other earth movements","victim of avalanche, landslide or other earth movements",,,1,0.4731370806694031,Related to
A5,External violence,"Physical and eventually verbal violence against humans, endangering their health, safety and well-being",QE82.0,Personal history of physical abuse,personal history of physical abuse,"personal history of non-accidental acts of physical force that result, or have reasonable potential to result, in physical harm or that evoke significant fear. this category is applied to the victim of the maltreatment, not the perpetrator.",Personal history of physical maltreatment,1,0.5564196109771729,ERC-Broader
A51,External violence,Improper and often violent treatment of a human,QE82.0,Personal history of physical abuse,personal history of physical abuse,"personal history of non-accidental acts of physical force that result, or have reasonable potential to result, in physical harm or that evoke significant fear. this category is applied to the victim of the maltreatment, not the perpetrator.",Personal history of physical maltreatment,1,0.6627464294433594,ERC-Narrower
A52,External violence,Violent taking away of other people's property,PJ45,Legal intervention involving explosive,legal intervention involving explosive,,,1,0.5273318886756897,ERC-Broader
A53,External violence,Threat with device filled with explosive material,PJ45,Legal intervention involving explosive,legal intervention involving explosive,,,1,0.7161198258399963,ERC-Narrower
A54,External violence,Sudden mass assault against people with the intention of killing them,PF15.1,Assault by explosion or rupture of materials or object,assault by explosion or rupture of materials or object,,,1,0.4554750621318817,Related to
A55,External violence,Capture of one or multiple humans and holding them as prisoners while usually making demands,XE0RZ,"Type of legal intervention, handling, transporting, or custody of prisoner","type of legal intervention, handling, transporting, or custody of prisoner",,,1,0.5425194501876831,ERC-Broader
A56,External violence,A large group of people engaging in disorderly and violent behaviour,ICD-11 block title,Other explosions or fragments during armed conflict,other explosions or fragments during armed conflict,,war operations involving other explosions and fragments; struck by fragments or blast from conventional explosive weapon during armed conflict,1,0.574614405632019,ERC-Broader
A57,External violence,Violent acts by hazardous substances,PF15.0,Assault by exposure to chemical explosion,assault by exposure to chemical explosion,,,1,0.6493620276451111,ERC-Narrower
A58,External violence,Deliberate setting of fire to property,PC81,Intentional self-harm by exposure to uncontrolled fire,intentional self-harm by exposure to uncontrolled fire,,,1,0.6418815851211548,ERC-Narrower
B11,Pedestrian,"Person travelling on foot, whether standing, walking, or running",XE88K,Pedestrian as mode of transport of person injured in transport event,pedestrian as mode of transport of person injured in transport event,a pedestrian is any person involved in a transport crash who was not in or on a vehicle or pedestrian conveyance at the time.,,1,0.6399682760238647,ERC-Narrower
B111,Pedestrian,"Pedestrian using a device designed to assist standing, walking, or running",XE88K,Pedestrian as mode of transport of person injured in transport event,pedestrian as mode of transport of person injured in transport event,a pedestrian is any person involved in a transport crash who was not in or on a vehicle or pedestrian conveyance at the time.,,1,0.5921858549118042,ERC-Broader
B112,Pedestrian,Pedestrian not using mobility aids,XE88K,Pedestrian as mode of transport of person injured in transport event,pedestrian as mode of transport of person injured in transport event,a pedestrian is any person involved in a transport crash who was not in or on a vehicle or pedestrian conveyance at the time.,,1,0.5832779407501221,ERC-Broader
B12,Human-powered land transport,Transport device that is powered by human muscles,XE3NU,Pedestrian conveyance as counterpart in land transport crash,pedestrian conveyance as counterpart in land transport crash,"a device which is designed primarily for, or being used at the time primarily for, conveying the person and is not a transport vehicle.",powered pedestrian conveyances,1,0.6038519740104675,ERC-Narrower
B121,Human-powered land transport,"Transport device with one or more wheels, usually with seat(s) and/or steering aid",XE3NU,Pedestrian conveyance as counterpart in land transport crash,pedestrian conveyance as counterpart in land transport crash,"a device which is designed primarily for, or being used at the time primarily for, conveying the person and is not a transport vehicle.",powered pedestrian conveyances,1,0.6626608967781067,ERC-Narrower
B122,Human-powered land transport,Transport device that is attached under humans' feet,XE3NU,Pedestrian conveyance as counterpart in land transport crash,pedestrian conveyance as counterpart in land transport crash,"a device which is designed primarily for, or being used at the time primarily for, conveying the person and is not a transport vehicle.",powered pedestrian conveyances,1,0.6710987687110901,ERC-Narrower
