Query,URI,Title,Definition,Synonyms,Parent_URI,Children
Dam,http://id.who.int/icd/entity/758529335,Dam predominant temperament pattern (TM2),,(c) Damawī al-Mizāj; Hot and moist temperament pattern (TM2); (c) Mizāj Ḥārr Ratb,,[]
Dam,http://id.who.int/icd/entity/1858547413,Depressive disorder due to derangement of Dam (TM2),,(c) Mālankhūliyā Damawī,,[]
Dam,http://id.who.int/icd/entity/1098064076,Fever disorder due to derangement of Dam (TM2),,(c) Ḥummā Muṭbiqa,,[]
Dam,http://id.who.int/icd/entity/395977566,Hepatitis disorder due to derangement of Dam (TM2),,(c) Waram al-Kabid Damawī,,[]
Dam,http://id.who.int/icd/entity/644256033,Conjunctivitis derangement of Dam disorder (TM2),,(c) Ramad Damawī,,[]
Dam,http://id.who.int/icd/entity/473685200,Headache due to derangement of Dam disorder (TM2),,(c) Ṣudā‘ Damawī,,[]
Dam,http://id.who.int/icd/entity/90350814,Gastritis disorder due to derangement of Dam (TM2),,(c) Waram al-Mi‘da Damawī,,[]
Dam,http://id.who.int/icd/entity/693681130,Stomatitis disorder due to derangement of Dam (TM2),,(c) Qulā‘ Damawī,,[]
Dam,http://id.who.int/icd/entity/923427820,Hypersomnia disorder due to derangement of Dam (TM2),,(c) Subāt Damawī,,[]
Dam,http://id.who.int/icd/entity/1131878079,Nightmare disorder due to derangement of Dam (TM2),,(c) Kābūs Damawī,,[]
Dam,http://id.who.int/icd/entity/1923091717,Uvulitis due to derangement of Dam disorder (TM2),,(c) Waram-i-Lahāt Damawī,,[]
Dam,http://id.who.int/icd/entity/1120356705,Vertigo and giddiness due to Dam disorder (TM2),,(c) Sadr-o-Duwār Dimāghī Damawī,,[]
Forest,http://id.who.int/icd/entity/1426129825,Forest,,,,[]
Forest,http://id.who.int/icd/entity/1288604967,Kyasanur Forest disease,"A disease caused by an infection with Kyasanur Forest disease virus. This disease commonly presents with fever, chills, headache, muscle pain and vomiting, or gastrointestinal symptoms and bleeding. This disease may also present with neurological manifestations such as a severe headache, mental disturbances, tremors, or vision deficits. Transmission is through the bite of an infected tick or by direct contact with an infected animal. Confirmation is by identification of Kyasanur Forest disease virus in a serum sample.",KFD - [ Kyasanur Forest disease]; monkey fever; monkey sickness,,[]
Forest,http://id.who.int/icd/entity/1285909913,Taï Forest virus,,Côte d'Ivoire ebolavirus,,[]
Forest,http://id.who.int/icd/entity/56696690,Barmah Forest virus,,,,[]
Forest,http://id.who.int/icd/entity/239620085,Taï Forest virus disease,,,,[]
Forest,http://id.who.int/icd/entity/223424034,Semliki Forest virus,,,,[]
Forest,http://id.who.int/icd/entity/903359149,Kyasanur Forest disease virus,,,,[]
Forest,http://id.who.int/icd/entity/1618976346,Forest fire,,fire in forest; exposure to forest fire,,[]
Forest,http://id.who.int/icd/entity/1284860297,Australian forest scorpion venom,,wood scorpion venom,,[]
Forest,http://id.who.int/icd/entity/251180839,Black emperor scorpion venom,,Asian forest scorpion venom,,[]
Forest,http://id.who.int/icd/entity/36782335,Far Eastern tick-borne encephalitis,,encephalitis due to Far Eastern tick-borne encephalitis virus; Far Eastern encephalitis; forest-spring encephalitis; taiga encephalitis; Russian spring-summer encephalitis,,[]
Forest,http://id.who.int/icd/entity/911211398,Barmah Forest virus fever,,,,[]
